Aff,Neg,Judges,Votes,Win
NewSch CK,UniSta SM,"DavidMichael Woodward																																						Joe Schatz																																						Vincent Li","Neg																															Neg																															Neg","3-0																															NEG"
Katie Baughman,Cornel JG,,"Aff FFT																									Neg BYE","Aff FFT																									Neg BYE"
