School,NDT pts,Varsity pts,District,CC
Baylor University,161,111,3,N
Binghamton University,322,184,8,N
"California State University, Long Beach",157,135,1,N
"California State University, Fullerton",144,72,1,N
Dartmouth College,157,145,8,N
Emory University,438,308,6,N
George Mason University,604,171,7,N
Georgetown University,197,184,7,N
University of Georgia,109,55,6,N
Gonzaga University,138,123,2,N
Harvard University,219,219,8,N
University of Houston,325,148,3,N
Indiana University,221,62,5,N
University of Iowa,184,176,4,N
University of Kansas,299,299,3,N
Kansas State University,68,68,3,N
University of Kentucky,226,214,6,N
Macalaster College,104,60,4,N
University of Michigan,282,213,5,N
Michigan State University,174,174,5,N
University of Minnesota,189,131,4,N
Missouri State University,233,127,3,N
New York University,201,106,8,N
Northwestern University,180,180,5,N
University of Oklahoma,213,148,3,N
Samford University,314,121,6,N
University of Southern California,97,97,1,N
Southern Nazarene University,73,20,3,N
University of Texas,189,189,3,N
Trinity University,83,74,3,N
"University of California, Berkeley",77,77,1,N
"University of Texas, Dallas",164,164,3,N
Wake Forest University,398,299,6,N
Weber State University,42,31,2,N
University of West Georgia,94,94,6,N
Western Kentucky University,92,23,6,N
Wichita State University,164,153,3,N
University of Wyoming,155,155,2,N
University of Rochester,170,46,8,N
James Madison University,294,141,7,N
Liberty University,608,99,7,N
United States Military Academy,368,79,8,N
University of Central Oklahoma,35,26,3,N
Missouri Valley College,58,23,3,N
Monmouth University,174,17,7,N
"University of Texas, San Antonio",121,0,3,N
Johnson County Community College,12,0,3,Y
University of Northern Iowa,96,0,4,N
Cornell University,353,123,8,N
Fordham University,22,22,8,N
The New School,76,55,8,N
Suffolk University,106,28,8,N
"University of Massachusetts, Amherst",9,9,8,N
United States Naval Academy,141,47,7,N
Purdue University,19,19,5,N
Wayne State University,90,54,5,N
Boston College,108,11,8,N
West Virginia University,15,0,7,N
Towson University,62,46,7,N
University of North Texas,35,35,3,N
Georgia State University,12,0,6,N
Oakton Community College,11,11,5,Y
Southwestern College,45,0,1,Y
University of Virginia,12,0,7,N
