Aff,Neg,Judges,Votes,Win
George Mason EA,Liberty TS,"Deven Cooper																																						jasmine stidham																																						Hunter McCullough","Aff																															Neg																															Neg","2-1																															NEG"
Emory KW,Texas HS,"Dustyn Beutelspacher																																						Valerie McIntosh																																						Jeff Buntin","Neg																															Neg																															Neg","3-0																															NEG"
