Aff,Neg,Judges,Votes,Win
United States Military DS,Indiana VW,"Martin Osborn																																						Al Hiland																																						Tyler Snelling","Neg																															Aff																															Neg","2-1																															NEG"
George Mason AC,Jay Fuchs,,Aff BYE,Aff BYE
Indiana FK,,,Aff BYE,Aff BYE
George Mason BY,,,Aff BYE,Aff BYE
