Aff,Neg,Judges,Votes,Win
Navy BP,Wayne State HK,"Matthew Bricker																																						Pablo Gannon																																						Judd Kimball","Neg																															Aff																															Aff","2-1																															AFF"
Cornell JL,Liberty DP,"Nate Milton																																						Pavan Reddy																																						Kathryn Rubino","Aff																															Aff																															Aff","3-0																															AFF"
