Aff,Neg,Judges,Votes,Win
Kansas MS,Wake Forest RT,"Kenji Aoki																																						Corey Fisher																																						Gabriel Jankovsky","Neg																															Neg																															Aff","2-1																															NEG"
Emory GK,"Massachusetts, Amherst BM","Kevin Clarke																																						David Kilpatrick																																						Kevin Hirn","Aff																															Aff																															Aff","3-0																															AFF"
Dartmouth DS,Michigan PP,"Spencer Roetlin																																						Brendon Bankey																																						Zahir Shaikh","Neg																															Neg																															Neg","3-0																															NEG"
Wake Forest BD,Harvard DF,"Alaina Walberg																																						Jesse Smith																																						Azja Butler","Aff																															Neg																															Aff","2-1																															AFF"
