Aff,Neg,Judges,Votes,Win
Indiana NM - ONLINE,Samford KH - ONLINE,"Brendon Bankey																																						Brian Klarman																																						Matthew Granstrom","Neg																															Aff																															Neg","2-1																															NEG"
Samford FH - ONLINE,Samford EH - ONLINE,"Brendon Bankey																																						Brian Klarman																																						Matthew Granstrom","Neg																															Aff																															Neg","3-0																															NEG"
