Aff,Neg,Judges,Votes,Win
Emory GK,Michigan PP,"Brendon Bankey																																						Brett Bricker																																						Anthony Trufanov","Neg																															Neg																															Neg","3-0																															NEG"
Wake Forest BD,Wake Forest RT,,,
