School,NDT pts,Varsity pts,District,CC
Baylor University,238,234,3,N
Binghamton University,494,296,8,N
"California State University, Long Beach",219,182,1,N
"California State University, Fullerton",212,159,1,N
Dartmouth College,331,329,8,N
Emory University,631,449,6,N
George Mason University,824,279,7,N
Georgetown University,232,232,7,N
Gonzaga University,116,116,2,N
Harvard University,194,183,8,N
Indiana University,179,70,5,N
Macalester College,232,150,4,N
Michigan State University,379,379,5,N
Missouri State University,330,217,3,N
New York University,316,157,8,N
Northwestern University,305,296,5,N
University of Oklahoma,237,192,3,N
Southern Nazarene University,251,71,3,N
University of Texas,227,173,3,N
"University of Texas, Dallas",218,215,3,N
"University of California, Berkeley",177,177,1,N
University of Georgia,70,47,6,N
University of Houston,486,301,3,N
University of Iowa,276,197,4,N
University of Kansas,564,486,3,N
University of Kentucky,379,379,6,N
University of Michigan,436,383,5,N
University of North Texas,78,67,3,N
University of Southern California,231,231,1,N
Wake Forest University,366,313,6,N
University of West Georgia,232,154,6,N
Western Kentucky University,128,92,6,N
Wichita State University,208,208,3,N
University of Minnesota,253,190,4,N
University of Northern Iowa,198,52,4,N
Weber State University,20,9,2,N
James Madison University,433,254,7,N
Liberty University,985,196,7,N
United States Naval Academy,326,155,7,N
Samford University,188,128,6,N
"University of Texas, San Antonio",302,108,3,N
United States Military Academy,673,151,8,N
University of Rochester,211,120,8,N
Suffolk University,237,21,8,N
Towson University,151,53,7,N
Kansas State University,293,187,3,N
Texas A&M University,18,18,3,N
University of Central Oklahoma,56,44,3,N
Johnson County Community College,44,0,3,Y
Monmouth University,81,0,7,N
University of Missouri-Kansas City,28,0,3,N
Arizona State University,80,80,1,N
Southwestern College,191,33,1,Y
University of Wyoming,87,39,2,N
University of Louisville,46,0,6,N
Cornell University,448,90,8,N
The New School,31,31,8,N
Purdue University,54,20,5,N
Trinity University,185,131,3,N
Wayne State University,9,9,5,N
West Virginia University,44,0,7,N
Stanford University,45,45,1,N
Boston College,64,11,8,N
Schreiner University,37,0,3,N
"University of California, Davis",30,30,1,N
Fairmont State University,11,0,7,N
Georgia Institute of Technology,22,0,6,N
Kansas City Kansas Community College,9,9,3,Y
"University of Nebraska, Lincoln",11,11,4,N
University of Pennsylvania,11,11,7,N
Marian University,8,0,5,N
University of Virginia,11,11,7,N
