Aff,Neg,Judges,Votes,Win
Dartmouth SV,Georgetown LW,"Zahir Shaikh																																						Ruby Klein																																						Jeff Buntin","Aff																															Aff																															Neg","2-1																															AFF"
Emory GK,Wake Forest RT,"Tyler Snelling																																						Kenji Aoki																																						Alaina Walberg","Neg																															Aff																															Aff","2-1																															AFF"
Wake Forest BD,Michigan PP,"John Turner																																						Johnnie Stupek																																						Allie Chase","Neg																															Neg																															Neg","3-0																															NEG"
Dartmouth BC,Emory MP,"Brandon Kelley																																						Danielle O'Gorman																																						Brett Bricker","Neg																															Aff																															Aff","2-1																															AFF"
