Aff,Neg,Judges,Votes,Win
MisSta BR,UTSan KC,"Flynn Makuch																																						Nick Lepp																																						Judd Kimball","Neg																															Neg																															Neg","3-0																															NEG"
MarWas BH,,,MarWas BH advances,MarWas BH advances
