Aff,Neg,Judges,Votes,Win
Michigan PP,Emory GK,"Tyler Thur																																						Anthony Trufanov																																						Christopher Callahan","Neg																															Neg																															Aff","2-1																															NEG"
Dartmouth SV,Dartmouth BC,,Dartmouth SV advances,Dartmouth SV advances
