Aff,Neg,Judges,Votes,Win
George Mason CT,Kansas State AW,"Michael Harrington																																						Lindsey Shook																																						Spencer Roetlin","Aff																															Aff																															Aff","3-0																															AFF"
George Mason GB,Kansas State DF,"Storm Lasseter																																						Joe Schatz																																						Armands Revelins","Aff																															Neg																															Neg","2-1																															NEG"
Liberty SK,Liberty SW,,Liberty SK advances,Liberty SK advances
George Mason RS,,,,
