Aff,Neg,Judges,Votes,Win
Kansas State DF,George Mason RS,"Max Breiling																																						Michael Harrington																																						Armands Revelins","Neg																															Neg																															Neg","3-0																															NEG"
Liberty SK,George Mason CT,"William Jensen																																						Kristiana Baez																																						Joe Patrice","Aff																															Neg																															Neg","2-1																															NEG"
