Aff,Neg,Judges,Votes,Win
Kansas SM,Wake Forest BD,"James Allan																																						Shree Awsare																																						Nathan Fleming","Neg																															Neg																															Neg","3-0																															NEG"
Michigan MM,Wake Forest RT,"Rob Glass																																						Natalie Yehezkel																																						Vincent Li","Neg																															Neg																															Neg","3-0																															NEG"
Emory GK,Dartmouth BC,"Dallas Perkins																																						Kevin Hirn																																						Kevin McCaffrey","Aff																															Aff																															Aff","3-0																															AFF"
Michigan HR,Dartmouth SV,"Jackie Poapst																																						Bruce Najor																																						Andrew Allsup","Neg																															Neg																															Aff","2-1																															NEG"
