Aff,Neg,Judges,Votes,Win
Emory PL,George Mason RS,"Justin Green																																						Ryan Galloway																																						Vincent Li","Aff																															Aff																															Neg","2-1																															AFF"
George Mason RoSt,Wake Forest BH,"Phillip Samuels																																						David Kilpatrick																																						Joshua Harrington","Neg																															Aff																															Aff","2-1																															AFF"
Benjy Haber-Fawcett,Samford CP,"Pavan Reddy																																						Manny Navarrete																																						Lindsey Shook","Aff																															Neg																															Neg","2-1																															NEG"
Wayne State LC,Liberty HS,,,"3-0																															AFF"
