Aff,Neg,Judges,Votes,Win
George Mason DK,Emory CC,"Tyler Vergho																																						Aaron Kall																																						Kelly Skoulikaris","Neg																															Neg																															Neg","3-0																															NEG"
Oklahoma JB,Indiana SM,,"Aff BYE																									Neg FFT","Aff BYE																									Neg FFT"
