Aff,Neg,Judges,Votes,Win
Navy MR,George Mason RS,"Heather Hall																																						Rachel Solsman																																						Michael Harrington","Aff																															Neg																															Neg","2-1																															NEG"
George Mason RoSt,United States Military MM,"Abhis Sedhai																																						Kristiana Baez																																						Armands Revelins","Aff																															Aff																															Aff","3-0																															AFF"
George Mason SV,Liberty BL,"Sam Gustavson																																						Joe Patrice																																						Kathryn Rubino","Neg																															Neg																															Neg","3-0																															NEG"
Liberty ST,West Virginia FP,"Danielle O'Gorman																																						Ben Biggs																																						Pavan Reddy","Aff																															Aff																															Aff","3-0																															AFF"
