Aff,Neg,Judges,Votes,Win
James Madison SM,NYU KT,"Lindsay Lowry																																						Heather Hall																																						Tiff Imbimbo","Aff																															Aff																															Aff","3-0																															AFF"
George Mason RoSh,George Mason RP,,George Mason RoSh advances,George Mason RoSh advances
