Aff,Neg,Judges,Votes,Win
UniSta DS,NewSch EC,"Josh Johnwell																																						Nicholas Tilmes																																						Vincent Li","Aff																															Aff																															Neg","2-1																															AFF"
NYU CT,NYU AM,,NYU CT advances,NYU CT advances
