Aff,Neg,Judges,Votes,Win
NYU MS,Kentucky RS,"Carter Henman																																						Eric Maag																																						Ryan Wash","Neg																															Aff																															Aff","2-1																															AFF"
NYU ZL,North Texas WJ,"Natalie Yehezkel-Stolarski																																						Kwudjwa Osei																																						Armands Revelins","Neg																															Neg																															Neg","3-0																															NEG"
