Aff,Neg,Judges,Votes,Win
UC Berkeley SU,Arizona State SS,"Vontrez White																																						LaToya Green																																						Morgan Copeland","Aff																															Aff																															Aff","3-0																															AFF"
UC Berkeley RM,UC Berkeley BT,,UC Berkeley RM advances,UC Berkeley RM advances
