Aff,Neg,Judges,Votes,Win
Michigan DM,Wake Forest LS,"Chad Meadows																																						Manny Navarrete																																						Justin Kirk","Aff																															Aff																															Aff","3-0																															AFF"
Indiana DJ,Southwestern AF,"Grace McManus																																						Thomas Reese																																						Derek Hilligoss","Neg																															Aff																															Aff","2-1																															AFF"
