School,NDT pts,Varsity pts,District,CC
Baylor,161,111,3,N
Binghamton,322,184,8,N
CSU Long Beach,157,135,1,N
Cal State Fullerton,144,72,1,N
Dartmouth,157,145,8,N
Emory,438,308,6,N
George Mason,604,171,7,N
Georgetown,197,184,7,N
Georgia,109,55,6,N
Gonzaga,138,123,2,N
Harvard,219,219,8,N
Houston,325,148,3,N
Indiana,221,62,5,N
Iowa,184,176,4,N
Kansas,299,299,3,N
Kansas State,68,68,3,N
Kentucky,226,214,6,N
Macalester,104,60,4,N
Michigan,282,213,5,N
Michigan State,174,174,5,N
Minnesota,189,131,4,N
Missouri State,233,127,3,N
NYU,201,106,8,N
Northwestern,180,180,5,N
Oklahoma,213,148,3,N
Samford,314,121,6,N
Southern California,97,97,1,N
Southern Nazarene,73,20,3,N
Texas,189,189,3,N
Trinity,83,74,3,N
UC Berkeley,77,77,1,N
UTD,164,164,3,N
Wake Forest,398,299,6,N
Weber State,42,31,2,N
West Georgia,94,94,6,N
Western Kentucky,92,23,6,N
Wichita State,164,153,3,N
Wyoming,155,155,2,N
Rochester,170,46,8,N
James Madison,294,141,7,N
Liberty,608,99,7,N
United States Military,368,79,8,N
Central Oklahoma,35,26,3,N
Missouri Valley,58,23,3,N
Monmouth,174,17,7,N
UT San Antonio,121,0,3,N
Johnson County Community,12,0,3,Y
Northern Iowa,96,0,4,N
Cornell,353,123,8,N
Fordham,22,22,8,N
New School,76,55,8,N
Suffolk,106,28,8,N
"Massachusetts, Amherst",9,9,8,N
Navy,141,47,7,N
Purdue,19,19,5,N
Wayne State,90,54,5,N
Boston College,108,11,8,N
West Virginia,15,0,7,N
Towson,62,46,8,N
North Texas,35,35,3,N
Georgia State,12,0,6,N
Oakton Community,11,11,5,Y
Southwestern,45,0,1,N
Virginia,12,0,7,N
