School,NDT pts,Varsity pts,District,CC
Baylor University,100,100,3,N
Binghamton University,173,81,8,N
"California State University, Fullerton",212,165,1,N
Dartmouth College,218,218,8,N
Emory University,388,300,6,N
George Mason University,680,278,7,N
Georgetown University,121,121,7,N
University of Georgia,45,33,6,N
Gonzaga University,184,69,2,N
Harvard University,255,246,8,N
University of Iowa,151,139,4,N
Johnson County Community College,97,97,3,Y
University of Kansas,342,331,3,N
University of Kentucky,152,140,6,N
Liberty University,739,279,7,N
University of Mary Washington,121,26,7,N
University of Michigan,424,310,5,N
Michigan State University,196,170,5,N
University of Minnesota,351,253,4,N
Missouri State University,230,144,3,N
New York University,130,43,8,N
Northwestern University,201,189,5,N
University of Pennsylvania,15,15,7,N
University of Pittsburgh,113,88,7,N
Samford University,267,79,6,N
University of Southern California,170,147,1,N
University of Texas,153,153,3,N
Trinity University,94,60,3,N
Tufts University,46,46,8,N
"University of California, Berkeley",102,102,1,N
"University of Texas, Dallas",181,181,3,N
Wake Forest University,221,221,6,N
Wayne State University,103,64,5,N
University of West Georgia,27,27,6,N
Western Washington University,98,98,2,N
Wichita State University,190,131,3,N
University of Wyoming,201,178,2,N
University of Houston,517,48,3,N
Indiana University,292,11,5,N
United States Naval Academy,226,40,7,N
The New School,87,29,8,N
Texas Tech University,70,0,3,N
United States Military Academy,97,0,8,N
Cornell University,93,20,8,N
James Madison University,358,19,7,N
Purdue University,85,31,5,N
University of Rochester,26,0,8,N
University of Central Oklahoma,91,63,3,N
Kansas State University,44,44,3,N
University of Oklahoma,35,17,3,N
Monmouth University,122,0,7,N
Boston College,124,43,8,N
Emporia State University,61,22,6,N
"University of Texas, San Antonio",82,8,3,N
West Virginia University,51,0,7,N
"California State University, Long Beach",11,0,1,N
University of Miami,75,0,6,N
Southern Nazarene University,17,0,3,N
"Rutgers University, Newark",27,27,7,N
Saint Mary's College,46,0,1,N
Weber State University,20,20,2,N
Georgia State University,11,0,6,N
"University of Nebraska, Lincoln",11,11,4,N
