Aff,Neg,Judges,Votes,Win
Kentucky AE,Emory GY,"Solomon Watson																																						Deven Cooper																																						Bruce Najor","Neg																															Neg																															Neg","3-0																															NEG"
Emory LW,Michigan State AG,"Devane Murphy																																						Douglas Husic																																						Kevin Hirn","Neg																															Aff																															Aff","2-1																															AFF"
Emory ST,Michigan DS,"Nick Lepp																																						Hunter McCullough																																						Lee Quinn","Aff																															Aff																															Aff","3-0																															AFF"
Michigan State BS,Michigan State JS,,Michigan State BS advances,Michigan State BS advances
