Aff,Neg,Judges,Votes,Win
Michigan SA,Kentucky AE,"Nick Lepp																																						Mikaela Malsin																																						Eric Morris","Neg																															Neg																															Neg","3-0																															NEG"
Emory GY,,,,
Emory LW,,,,
Emory ST,,,,
Michigan State BS,,,,
Michigan State JS,,,,
Michigan DS,,,,
Michigan State AG,,,,
