Aff,Neg,Judges,Votes,Win
Michigan State BS,Emory GY,"Deven Cooper																																						Hunter McCullough																																						Ron Stevenson","Aff																															Neg																															Aff","2-1																															AFF"
Emory LW,Emory ST,,Emory LW advances,Emory LW advances
