Aff,Neg,Judges,Votes,Win
Michigan PS,Liberty CR,"Adam Lee																																						Scott Harris																																						Bruce Najor","Neg																															Neg																															Aff","2-1																															NEG"
Northwestern DF,Michigan MM,"Johnnie Stupek																																						Ned Gidley																																						Lee Quinn","Neg																															Aff																															Aff","2-1																															AFF"
