Aff,Neg,Judges,Votes,Win
Michigan State GK,Liberty CR,"Adam Lee																																						Hannah Call																																						Will Baker","Neg																															Aff																															Neg","2-1																															NEG"
Minnesota PR,Northwestern DF,"Johnnie Stupek																																						Kurt Fifelski																																						Dustin Meyers-Levy","Neg																															Neg																															Neg","3-0																															NEG"
Michigan MM,Georgetown WL,"Gabriel Morbeck																																						Ned Gidley																																						Brett Bricker","Aff																															Aff																															Aff","3-0																															AFF"
Kansas SS,Michigan PS,"Patrick Waldinger																																						Jeff Buntin																																						Bruce Najor","Neg																															Neg																															Neg","3-0																															NEG"
