Aff,Neg,Judges,Votes,Win
Navy CK,Miami BC,"Brian DeLong																																						John Katsulas																																						Kevin McCaffrey","Neg																															Neg																															Neg","3-0																															NEG"
Indiana FK,Indiana VB,,Indiana FK advances,Indiana FK advances
