Aff,Neg,Judges,Votes,Win
Louis Gleason,Samford BR,"Ron Stevenson																																						Brad Meloche																																						Ned Gidley","Neg																															Neg																															Neg","3-0																															NEG"
Indiana HF,Wichita State MW,"Patrick Waldinger																																						Martin Osborn																																						Reece Aguilar","Aff																															Aff																															Neg","2-1																															AFF"
