Aff,Neg,Judges,Votes,Win
Indiana HF,New School LK,"Hunter McCullough																																						Justin Green																																						Nathan Davis","Aff																															Aff																															Neg","2-1																															AFF"
Purdue MC,Wichita State MW,"Adrienne Brovero																																						Douglas Husic																																						David Rooney","Neg																															Neg																															Aff","2-1																															NEG"
Indiana JL,Louis Gleason,"Ron Stevenson																																						Matt Liu																																						Ned Gidley","Neg																															Neg																															Neg","3-0																															NEG"
Samford BR,,,,
