Aff,Neg,Judges,Votes,Win
Navy RC,Wake Forest PC,"DavidMichael Woodward																																						Terrell Taylor																																						Sarah Lundeen","Neg																															Aff																															Neg","2-1																															NEG"
Emory WP,Kentucky GB,"Beau Larsen																																						Ryan Galloway																																						Joshua Mitchell","Aff																															Aff																															Aff","3-0																															AFF"
Macalester PK,Gonzaga MW,"Justin Green																																						Theo Noparstak																																						Brandon Reynolds","Aff																															Aff																															Aff","3-0																															AFF"
Kentucky SS,Wyoming SW,"Matthew Granstrom																																						Hamza Jamal																																						Jeff Nagel","Neg																															Neg																															Neg","3-0																															NEG"
