Aff,Neg,Judges,Votes,Win
Kansas MR,Northwestern DR,"David Griffith																																						Mikaela Malsin																																						Gabriel Morbeck","Aff																															Aff																															Aff","3-0																															AFF"
Emory GH,Macalester PK,"jasmine stidham																																						Anthony Trufanov																																						Ian Dill","Neg																															Aff																															Aff","2-1																															AFF"
Dartmouth CaGu,Wake Forest BM,"Viveth Karthikeyan																																						Brett Bricker																																						Dustin Meyers-Levy","Neg																															Neg																															Neg","3-0																															NEG"
Georgetown CS,Binghamton TC,"Ari Davidson																																						Derek Hilligoss																																						Kwudjwa Osei","Neg																															Aff																															Neg","2-1																															NEG"
