Aff,Neg,Judges,Votes,Win
Houston AS,Kansas MR,"Justin Green																																						jasmine stidham																																						Scott Phillips","Neg																															Neg																															Neg","3-0																															NEG"
Harvard DS,Emory GH,"Nick Fleming																																						David Sposito																																						Ian Dill","Neg																															Neg																															Neg","3-0																															NEG"
Michigan State JS,CSU Long Beach OM,"Ana Bittner																																						Kurt Fifelski																																						Eric Lanning","Neg																															Neg																															Aff","2-1																															NEG"
Binghamton TC,Emory CP,"Thomas Babcock																																						Ari Davidson																																						Nikola Stamenković Diez","Aff																															Aff																															Aff","3-0																															AFF"
Michigan BP,Dartmouth CaGu,"Ian Lowery																																						Joe Weideman																																						Viveth Karthikeyan","Neg																															Neg																															Aff","2-1																															NEG"
George Mason DF,Macalester PK,"Corey Fisher																																						Sam Gustavson																																						Geoff Lundeen","Neg																															Neg																															Neg","3-0																															NEG"
Northwestern DR,Michigan ES,"Danielle O'Gorman																																						David Griffith																																						Michael Scott","Aff																															Aff																															Neg","2-1																															AFF"
Kentucky AM,West Georgia DK,"Spencer Roetlin																																						Kristopher Wallen																																						John Turner","Neg																															Neg																															Neg","3-0																															NEG"
Michigan State MM,Emory KP,"Kristiana Baez																																						Will Baker																																						Nathan Rothenbaum","Aff																															Aff																															Aff","3-0																															AFF"
Kansas SH,Michigan State GL,"Tajaih Robinson																																						Tyler Snelling																																						Shannon Howley","Neg																															Neg																															Neg","3-0																															NEG"
Georgetown CS,Stanford LL,"Bobby Phillips																																						Hunter McCullough																																						Anthony Trufanov","Aff																															Aff																															Aff","3-0																															AFF"
Dartmouth BC,Michigan SS,"Gabriel Morbeck																																						Brett Bricker																																						Brian DeLong","Aff																															Aff																															Neg","2-1																															AFF"
Baylor LD,Wake Forest BM,"Gabe Lewis																																						Tripp Rebrovick																																						Chris Loghry","Neg																															Neg																															Aff","2-1																															NEG"
Iowa AP,Emory LY,"Jackie Poapst																																						Derek Hilligoss																																						Kwudjwa Osei","Aff																															Aff																															Aff","3-0																															AFF"
Kansas SA,Emory GY,"Adam Lipton																																						Valerie McIntosh																																						Dustin Meyers-Levy","Aff																															Aff																															Neg","2-1																															AFF"
Kansas LS,Kansas WH,,Kansas LS advances,Kansas LS advances
