Aff,Neg,Judges,Votes,Win
NYU TM,Kansas RS,"Allison Pujol																																						Lindsey Shook																																						Emily Bosch","Neg																															Neg																															Neg","3-0																															NEG"
Harvard OG,Texas CF,"Jackie Poapst																																						Alex Marban																																						Julian Kuffour","Aff																															Aff																															Aff","3-0																															AFF"
Kansas WW,Dartmouth BC,"Adrienne Brovero																																						Jeff Buntin																																						Kelly Skoulikaris","Aff																															Neg																															Neg","2-1																															NEG"
Michigan State MG,Kentucky GS,"Young Kwon																																						John Katsulas																																						Maggie Berthiaume","Aff																															Aff																															Aff","3-0																															AFF"
Minnesota JP,Wichita State CH,"Nick Lepp																																						jasmine stidham																																						William Jensen","Aff																															Aff																															Aff","3-0																															AFF"
Emory RS,Wichita State BB,"Scott Phillips																																						Kevin Hirn																																						Katie Wimsatt","Aff																															Aff																															Aff","3-0																															AFF"
Emory LK,UC Berkeley FT,"Danielle O'Gorman																																						Ian Dill																																						Nina Fridman","Neg																															Neg																															Neg","3-0																															NEG"
Baylor HD,Emory CD,"Addison Wagner																																						Nate Graziano																																						Ned Gidley","Neg																															Neg																															Aff","2-1																															NEG"
Minnesota DP,Southern California BA,"Anthony Trufanov																																						Dustin Meyers-Levy																																						Justin Green","Neg																															Neg																															Neg","3-0																															NEG"
Samford TR,Binghamton TC,"Matt Stannard																																						Nathan Davis																																						Jim Schultz","Neg																															Aff																															Neg","2-1																															NEG"
Binghamton MP,Northwestern SS,"Chris Loghry																																						Kristiana Baez																																						Nicolas Juarez","Neg																															Neg																															Neg","3-0																															NEG"
Kansas HS,Kentucky MA,"John Turner																																						Mikaela Malsin																																						Sherry Hall","Aff																															Neg																															Neg","2-1																															NEG"
Wyoming PL,Dartmouth VW,"Kevin McCaffrey																																						Johnnie Stupek																																						Nathan Fleming","Neg																															Neg																															Neg","3-0																															NEG"
Northwestern DC,Northwestern AR,,Northwestern DC advances,Northwestern DC advances
Emory KR,,,,
Wake Forest BM,,,,
Dartmouth/Pennsylvania CE,,,,
George Mason LR,,,,
Emory WP,,,,
Wake Forest PC,,,,
CSU Long Beach OF,,,,
Iowa CA,,,,
Michigan SG,,,,
Emory MP,,,,
Kansas MP,,,,
Texas DK,,,,
Michigan State KL,,,,
Michigan PD,,,,
Kentucky GD,,,,
Georgetown LW,,,,
Emory GH,,,,
Wake Forest DL,,,,
