Aff,Neg,Judges,Votes,Win
Boston College MW,George Mason RS,"Jefferson Yahom																																						Michael Hester																																						Flynn Makuch","Neg																															Neg																															Neg","3-0																															NEG"
Samford HH,Kansas WM,"Genevieve Hackman																																						Alex Marban																																						Shannon Howley","Aff																															Aff																															Aff","3-0																															AFF"
