Aff,Neg,Judges,Votes,Win
Kansas HP,Texas AD,"Lindsey Shook																																						Matt Coleman																																						Spencer Roetlin","Aff																															Aff																															Neg","2-1																															AFF"
Texas FC,Iowa BP - ONLINE,"Jackson Specker																																						Derek Hilligoss																																						Azja Butler","Aff																															Aff																															Aff","3-0																															AFF"
