Aff,Neg,Judges,Votes,Win
Texas AD,Kansas HS,"Matt Coleman																																						Jackson Specker																																						Sam Gustavson","Aff																															Aff																															Aff","3-0																															AFF"
Kansas State TR,Iowa BP - ONLINE,"Derek Hilligoss																																						Azja Butler																																						Jesse Smith","Neg																															Aff																															Neg","2-1																															NEG"
Kansas SS,Texas FC,"Alex McVey																																						Gabriel Morbeck																																						Spencer Roetlin","Neg																															Neg																															Aff","2-1																															NEG"
Kansas HP,Clara Conry,"Mia Bonitto																																						Hannah Phelps																																						Allison Pujol","Aff																															Aff																															Neg","2-1																															AFF"
