Aff,Neg,Judges,Votes,Win
Dartmouth BC,Michigan PS,"Harry Aaronson																																						Anthony Trufanov																																						Ezra Louvis","Aff																															Neg																															Aff","2-1																															AFF"
Michigan State GK,Wake Forest BT,"Shree Awsare																																						Kevin Hirn																																						Matt Liu","Aff																															Aff																															Aff","3-0																															AFF"
Georgetown GL,Trinity NM,"David Cram Helwich																																						Casey Harrigan																																						John Turner","Neg																															Neg																															Neg","3-0																															NEG"
Northwestern LW,Michigan MM,"Josiah Ferguson																																						William Repko																																						Michael Klinger","Neg																															Neg																															Neg","3-0																															NEG"
Northwestern DF,Tony Miklovis,"Nathan Fleming																																						Kurt Fifelski																																						Brandon Stras","Aff																															Aff																															Aff","3-0																															AFF"
Northeastern/Pennsylvania RE,Southern California KS,"Dustin Meyers-Levy																																						Caitlin Walrath																																						David Asafu-Adjaye","Neg																															Neg																															Neg","3-0																															NEG"
UC Berkeley EE,Michigan HM,"Nathan Rothenbaum																																						Nick Lepp																																						Alex McVey","Aff																															Aff																															Aff","3-0																															AFF"
Minnesota PR,David Griffith,"Raam Tambe																																						Jeff Buntin																																						Ruby Klein","Neg																															Neg																															Neg","3-0																															NEG"
