Aff,Neg,Judges,Votes,Win
Kansas Soper & Harris,Emporia State Cabrera & Sims,"Grant Colquitt																																						Matt Liu																																						Emily Bosch","Aff																															Aff																															Aff","3-0																															AFF"
Wyoming/Vanderbilt Willson & Rhee,Wyoming Campbell & Campbell,,Wyoming/Vanderbilt Willson & Rhee advances,Wyoming/Vanderbilt Willson & Rhee advances
