Aff,Neg,Judges,Votes,Win
Navy RP,Indiana AM,"Lee Quinn																																						Sydney Pasquinelli																																						KJ Reese","Neg																															Neg																															Neg","3-0																															NEG"
Mary Washington/Indiana HN,Navy MC,"Tim Freehan																																						Adam Lee																																						Alex VanDyke","Aff																															Aff																															Aff","3-0																															AFF"
