Aff,Neg,Judges,Votes,Win
Mary Washington DH,Wichita State SW,"Danielle O'Gorman																																						Brad Meloche																																						Nate Milton","Neg																															Neg																															Aff","2-1																															NEG"
Samford GT,Michigan MS,"Judd Kimball																																						Maggie Solice																																						Brian DeLong","Neg																															Neg																															Neg","3-0																															NEG"
Wayne State MR,Southern California/Southwestern GA,"Kenny Delph																																						Will Baker																																						Beau Larsen","Neg																															Aff																															Aff","2-1																															AFF"
Missouri State KR,Michigan State BK,"Phillip Samuels																																						Tim Freehan																																						Kurt Fifelski","Neg																															Neg																															Neg","3-0																															NEG"
