Aff,Neg,Judges,Votes,Win
George Mason DS,Liberty BS,"Matt Liu																																						Brian Klarman																																						William Jensen","Neg																															Neg																															Neg","3-0																															NEG"
Pennsylvania State BK,George Mason PR,"John Huebler																																						Jamie Davenport																																						Armands Revelins","Neg																															Neg																															Aff","2-1																															NEG"
Houston RZ,Navy MS,"Marge Strong																																						Adam Lee																																						Tripp Rebrovick","Aff																															Aff																															Aff","3-0																															AFF"
George Mason BR,Samford EH,"Justin Green																																						Becca Steiner																																						Molly Martin","Neg																															Aff																															Aff","2-1																															AFF"
Samford HK,Liberty LL,"Tom O'Gorman																																						Allison Harper																																						Jason Regnier","Neg																															Neg																															Neg","3-0																															NEG"
Mary Washington BH,Emory CN,"Jeff Buntin																																						Pavan Reddy																																						Gerrit Hansen","Aff																															Aff																															Aff","3-0																															AFF"
Liberty SZ,Liberty JP,,Liberty SZ advances,Liberty SZ advances
Liberty CM,,,,
