Aff,Neg,Judges,Votes,Win
Mary Washington BH,Liberty BS,"Ian Morris																																						Danielle O'Gorman																																						Brian Klarman","Neg																															Aff																															Neg","2-1																															NEG"
Liberty LL,George Mason PR,"Marge Strong																																						Mikaela Malsin																																						Gabe Lewis","Aff																															Aff																															Aff","3-0																															AFF"
George Mason BR,Houston RZ,"Vida Chiri																																						Heather Hall																																						Nina Fridman","Neg																															Aff																															Neg","2-1																															NEG"
Liberty CM,Liberty SZ,,Liberty CM advances,Liberty CM advances
