Aff,Neg,Judges,Votes,Win
Jay-Z Flores,Minnesota JP,"Ian Morris																																						Justin Green																																						Will Baker","Aff																															Aff																															Aff","3-0																															AFF"
Northwestern AR,Minnesota PP,"Judd Kimball																																						Heather Hall																																						Kristiana Baez","Neg																															Neg																															Aff","2-1																															NEG"
