Aff,Neg,Judges,Votes,Win
Kansas MaSo,Michigan PR,"Rebecca Steiner																																						Matthew Granstrom																																						Young Kwon","Neg																															Neg																															Neg","3-0																															NEG"
Pittsburgh OM,George Mason BG,"Kenny Delph																																						Martin Osborn																																						Kevin Hirn","Neg																															Aff																															Neg","2-1																															NEG"
Wake Forest BT,Liberty CR,"Brian Klarman																																						Saied Beckford																																						Corey Fisher","Aff																															Neg																															Neg","2-1																															NEG"
UC Berkeley EE,Harvard AF,"Brian DeLong																																						Caitlin Walrath																																						John Turner","Aff																															Neg																															Neg","2-1																															NEG"
Wake Forest DL,Emory GK,"Brendon Bankey																																						Allie Chase																																						Matthew Bricker","Neg																															Neg																															Aff","2-1																															NEG"
Michigan HM,Emory PR,"Brad Meloche																																						Reed Van Schenck																																						Habiba Ahmed","Neg																															Aff																															Aff","2-1																															AFF"
Dartmouth CS,Emory HM,"Kurt Fifelski																																						Dustin Meyers-Levy																																						Derek Hilligoss","Aff																															Neg																															Neg","2-1																															NEG"
Wake Forest BP,Texas DK,"Allison Harper																																						Joe Skoog																																						Marge Strong","Neg																															Neg																															Neg","3-0																															NEG"
