Aff,Neg,Judges,Votes,Win
Michigan PR,Kentucky MW,"Rebecca Steiner																																						Teja Leburu																																						Alaina Walberg","Aff																															Aff																															Aff","3-0																															AFF"
Kansas HS,Pittsburgh OM,"Ignacio Evans																																						Anthony Ogbuli																																						Kevin Hirn","Neg																															Aff																															Neg","2-1																															NEG"
Liberty CR,Michigan State GK,"Brian Klarman																																						Martin Osborn																																						Flynn Makuch","Aff																															Neg																															Aff","2-1																															AFF"
Minnesota PS,Harvard AF,"Nate Nys																																						Dustin Meyers-Levy																																						Anthony Trufanov","Neg																															Neg																															Neg","3-0																															NEG"
Emory GK,Tony Miklovis,"Joey Konrad																																						Rayvon Dean																																						Derek Hilligoss","Aff																															Aff																															Aff","3-0																															AFF"
Michigan HM,Kansas RO,"Brad Meloche																																						Parker Hopkins																																						Corey Fisher","Aff																															Neg																															Aff","2-1																															AFF"
Dartmouth CS,Iowa CN,"Allison Harper																																						Alex Marban																																						Amar Adam","Aff																															Neg																															Aff","2-1																															AFF"
Samford EG,Wake Forest BP,"Tyler Thur																																						Victoria Yonter																																						Michael Barlow","Aff																															Neg																															Neg","2-1																															NEG"
Texas DK,Georgetown WW,"Caitlin Walrath																																						Young Kwon																																						Pablo Gannon","Aff																															Aff																															Neg","2-1																															AFF"
Emory HM,Pittsburgh RS,"Nathan Fleming																																						Ruby Klein																																						Ned Gidley","Aff																															Aff																															Aff","3-0																															AFF"
Cal State Fullerton CW,Emory PR,"Brendon Bankey																																						Brandon Stras																																						Reed Van Schenck","Neg																															Neg																															Neg","3-0																															NEG"
Gonzaga MR,Wake Forest DL,"Gabriel Jankovsky																																						Johnnie Stupek																																						John Turner","Neg																															Neg																															Aff","2-1																															NEG"
Wake Forest DT,UC Berkeley EE,"Matt Liu																																						Tim Freehan																																						Allie Chase","Neg																															Neg																															Aff","2-1																															NEG"
Johnson County Community BB,George Mason BG,"Kenny Delph																																						Kurt Fifelski																																						Marge Strong","Neg																															Neg																															Neg","3-0																															NEG"
Kansas MaSo,Trinity NM,"Mikaela Malsin																																						Miriam Mokhemar																																						Stephen Pipkin","Aff																															Aff																															Neg","2-1																															AFF"
Wake Forest BT,Wake Forest BB,,Wake Forest BT advances,Wake Forest BT advances
