Aff,Neg,Judges,Votes,Win
Gonzaga DZ,Michigan State KV,"Matt Coleman																																						Saied Beckford																																						Brian Rubaie","Aff																															Aff																															Aff","3-0																															AFF"
Gonzaga MM,Houston LL,"Elise Shih																																						Katie Wimsatt																																						Kristiana Baez","Aff																															Aff																															Aff","3-0																															AFF"
George Mason BP,Central Oklahoma/Michigan SM,"Joe Skoog																																						Carly Wunderlich																																						Brent Lamb","Neg																															Aff																															Aff","2-1																															AFF"
Spiro Hoxha,Oakton Community/Macalester TK,"Geoff Lundeen																																						Phillip Samuels																																						Bee Smale","Neg																															Neg																															Neg","3-0																															NEG"
