Aff,Neg,Judges,Votes,Win
Wyoming LR,Minnesota AF,"Jackie Poapst																																						Christopher Jackson																																						Adam Lee","Neg																															Aff																															Aff","2-1																															AFF"
Minnesota/Arizona State PS,Cal State Fullerton WL,"Dillon Johnson																																						Will Baker																																						Victoria Yonter","Neg																															Neg																															Neg","3-0																															NEG"
UTD BM,Minnesota JS,"Brent Lamb																																						Adam Symonds																																						Joe Patten","Aff																															Neg																															Aff","2-1																															AFF"
Minnesota DP,UTD LW,"Tyler Thur																																						Ron Stevenson																																						Matt Coleman","Neg																															Neg																															Aff","2-1																															NEG"
