Aff,Neg,Judges,Votes,Win
UTD LW,Wyoming LR,"Jackie Poapst																																						Juan Garcia-Lugo																																						Al Hiland","Neg																															Neg																															Neg","3-0																															NEG"
UTD BM,Cal State Fullerton WL,"Will Baker																																						Adam Symonds																																						Matt Coleman","Aff																															Neg																															Neg","2-1																															NEG"
