Aff,Neg,Judges,Votes,Win
Minnesota DP,Lyd Haindfield,"Brent Lamb																																						Dillon Johnson																																						Christopher Jackson","Aff																															Aff																															Aff","3-0																															AFF"
UTD LW,Wyoming GL,"Ron Stevenson																																						Juan Garcia-Lugo																																						Al Hiland","Aff																															Aff																															Aff","3-0																															AFF"
Wayne State RR,Minnesota/Arizona State PS,"Jackie Poapst																																						Marge Strong																																						Victoria Yonter","Neg																															Neg																															Neg","3-0																															NEG"
NYU FP,Minnesota AF,"Adam Lee																																						Tripp Rebrovick																																						Matt Coleman","Neg																															Neg																															Neg","3-0																															NEG"
UTD BM,George Mason IJ,,"Aff BYE																									Neg FFT","Aff BYE																									Neg FFT"
Wyoming LR,,,,
Cal State Fullerton WL,,,,
Minnesota JS,,,,
