Aff,Neg,Judges,Votes,Win
NYU KL,Boston College MW,"Matthew Granstrom																																						Al Hiland																																						Douglas Husic","Aff																															Aff																															Neg","2-1																															AFF"
James Madison CR,Monmouth MM,"Kathy Wang																																						Juan Garcia-Lugo																																						Jalisa Jackson","Aff																															Aff																															Neg","2-1																															AFF"
Jay Fuchs,UT San Antonio FS,"Matt Liu																																						Lawrence Zhou																																						Lauren Johnson","Aff																															Aff																															Aff","3-0																															AFF"
NYU AJ,James Madison WD,"Jada Stinnett																																						Michelle Thomas																																						Greg Harpe","Neg																															Neg																															Neg","3-0																															NEG"
