Aff,Neg,Judges,Votes,Win
Oakton/Macalester TK,Nine Abad,"Alex Holguin																																						Reed Van Schenck																																						Grant Colquitt","Neg																															Neg																															Aff","2-1																															NEG"
Houston CK,Minnesota DR,"John Turner																																						Sean Kennedy																																						Michael Klinger","Aff																															Aff																															Neg","2-1																															AFF"
