Aff,Neg,Judges,Votes,Win
Emory PaRa,Harvard BH,"David Cram Helwich																																						Anthony Trufanov																																						Gabriel Jankovsky","Neg																															Aff																															Aff","2-1																															AFF"
Emory GK,Southern California KS,"Ruby Klein																																						Devane Murphy																																						Jeff Buntin","Aff																															Aff																															Aff","3-0																															AFF"
Michigan PR,Harvard AF,"Jackie Poapst																																						Elise Shih																																						John Turner","Aff																															Neg																															Aff","2-1																															AFF"
Dartmouth SV,Northwestern DF,"Rebecca Steiner																																						Valerie McIntosh																																						Kevin Hirn","Neg																															Aff																															Neg","2-1																															NEG"
