Aff,Neg,Judges,Votes,Win
George Mason BR,Liberty DS,"Adrienne Brovero																																						William Repko																																						Johnnie Stupek","Neg																															Aff																															Aff","2-1																															AFF"
NYU TT,George Mason ES,"Lauren McBlain																																						Jared DeMunbrun																																						David Rooney","Neg																															Aff																															Aff","2-1																															AFF"
Liberty HH,Fairmont State AS,"Tom O'Gorman																																						Danielle O'Gorman																																						Gabriel Morbeck","Aff																															Aff																															Aff","3-0																															AFF"
Liberty PR,Binghamton GG,"Neil Butt																																						Taylor Johnson																																						Kumail Zaidi","Neg																															Neg																															Neg","3-0																															NEG"
