Aff,Neg,Judges,Votes,Win
Binghamton RR,George Mason ES,"Lauren McBlain																																						Taylor Johnson																																						Jared DeMunbrun","Aff																															Neg																															Neg","2-1																															NEG"
Liberty DS,George Mason VF,"William Repko																																						Tim Freehan																																						Gabriel Morbeck","Aff																															Aff																															Aff","3-0																															AFF"
