Aff,Neg,Judges,Votes,Win
Mary Washington DR,Houston LK,"Natalie Bennie																																						Heather Hall																																						Brian DeLong","Aff																															Aff																															Aff","3-0																															AFF"
Liberty JP,Minnesota DR,"Clark Johnson																																						Allison Harper																																						Adrienne Brovero","Aff																															Neg																															Aff","2-1																															AFF"
