Aff,Neg,Judges,Votes,Win
George Mason BR,Indiana FG,"Bryce Rao																																						Jimin Park																																						Dan Bannister","Aff																															Aff																															Aff","3-0																															AFF"
George Mason FV,Binghamton RR,"Deven Cooper																																						Kristiana Baez-Gustavson																																						David Rooney","Neg																															Neg																															Neg","3-0																															NEG"
