Aff,Neg,Judges,Votes,Win
Oklahoma WS,Kansas HB,"William Jensen																																						Jeff Nagel																																						Nathan Rothenbaum","Neg																															Neg																															Neg","3-0																															NEG"
Kansas AS,,,,
Houston DF,,,,
Houston KY,,,,
Kansas BP,,,,
Kansas State AD,,,,
Houston SA,,,,
Kansas BW,,,,
