Aff,Neg,Judges,Votes,Win
Mary Washington BH,Liberty MS,"Alex Marban																																						MB Armstrong																																						Ryan Wardak","Aff																															Aff																															Neg","2-1																															AFF"
Liberty BT,George Mason PR,"Joe Patrice																																						Adrienne Brovero																																						Judd Kimball","Neg																															Neg																															Neg","3-0																															NEG"
