Aff,Neg,Judges,Votes,Win
Minnesota JS,Kansas WS,"DavidMichael Woodward																																						Ian Lowery																																						Michael Souders","Neg																															Neg																															Neg","3-0																															NEG"
Kansas HP,Baylor HL,"Joe Patrice																																						Andrea Brown																																						V Keenan","Neg																															Neg																															Aff","2-1																															NEG"
