Aff,Neg,Judges,Votes,Win
Liberty DS,Michigan AH,"Allison Harper																																						Ryan Galloway																																						Phillip Samuels","Neg																															Neg																															Neg","3-0																															NEG"
Miguel Molina Chavez,Gonzaga DZ,"David Rooney																																						Matthew Moore																																						Dustin Meyers-Levy","Aff																															Aff																															Aff","3-0																															AFF"
Trinity DW,Meg Petersen,"Ezra Serrins																																						Valerie McIntosh																																						Brandon Stras","Neg																															Neg																															Aff","2-1																															NEG"
Liberty JP,Liberty DM,,,
